[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve commons-io.jar (commons-io:commons-io:2.6) {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve files of :classpath {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve config.jar (com.typesafe:config:1.3.1) {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve files of :classpath {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve snakeyaml.jar (org.yaml:snakeyaml:1.19) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve files of :classpath {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve spring-boot-loader-tools.jar (org.springframework.boot:spring-boot-loader-tools:2.0.4.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve dependency-management-plugin.jar (io.spring.gradle:dependency-management-plugin:1.0.6.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve commons-compress.jar (org.apache.commons:commons-compress:1.14) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve dependency-management-plugin.jar (io.spring.gradle:dependency-management-plugin:1.0.6.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve spring-core.jar (org.springframework:spring-core:5.0.8.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve dependency-management-plugin.jar (io.spring.gradle:dependency-management-plugin:1.0.6.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve spring-boot-loader-tools.jar (org.springframework.boot:spring-boot-loader-tools:2.0.4.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve spring-jcl.jar (org.springframework:spring-jcl:5.0.8.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve spring-boot-loader-tools.jar (org.springframework.boot:spring-boot-loader-tools:2.0.4.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,095Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve files of :classpath {}
[INFO ] 2019-10-06T07:22:12,095Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,095Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve files of :classpath {}
[INFO ] 2019-10-06T07:22:12,095Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,313Z [Connection worker] internal.TestCordappImpl.statusChanged - Execute 'allprojects {}' action {}
[INFO ] 2019-10-06T07:22:12,313Z [Connection worker] internal.TestCordappImpl.statusChanged - Cross-configure project : {}
[INFO ] 2019-10-06T07:22:12,313Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.java to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,346Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,403Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.BasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,403Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.language.base.plugins.LifecycleBasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,414Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.BasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,459Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,460Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.ReportingBasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,470Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,470Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.language.base.plugins.LanguageBasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,470Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.platform.base.plugins.ComponentBasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,535Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.language.base.plugins.LanguageBasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,535Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,535Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.platform.base.plugins.BinaryBasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,664Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,697Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.java to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,951Z [Connection worker] internal.TestCordappImpl.statusChanged - Cross-configure project : {}
[INFO ] 2019-10-06T07:22:13,010Z [Connection worker] internal.TestCordappImpl.statusChanged - Execute 'allprojects {}' action {}
[INFO ] 2019-10-06T07:22:13,020Z [Connection worker] internal.TestCordappImpl.statusChanged - Cross-configure project :clients {}
[INFO ] 2019-10-06T07:22:13,020Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.java to project ':clients' {}
